word|count|in title|in brand|in description
door|96|77|35|88
ga|80|69|0|74
light|78|65|21|71
xbi|78|67|1|57
water|74|67|4|72
heater|68|63|9|64
toilet|55|50|0|50
window|48|34|4|40
kitchen|45|27|0|39
4|44|35|0|24
tile|44|36|4|34
mower|38|31|0|38
2|37|32|0|17
paint|37|8|0|30
wood|37|14|7|24
kit|36|30|0|25
metal|36|10|1|12
cabinet|35|29|0|33
8|33|26|0|17
sink|32|21|3|22
bay|31|28|28|27
post|30|23|0|27
sheet|30|24|0|26
board|30|13|0|18
led|30|27|0|27
lawn|30|15|0|28
faucet|29|28|0|28
floor|29|23|0|25
wall|29|21|0|25
air|28|21|1|27
ceil|27|16|0|19
panel|27|19|0|25
12|26|19|0|16
chair|26|20|0|25
fan|26|23|0|25
steel|26|17|0|21
fenc|26|14|1|24
and|25|7|2|25
plank|24|11|0|18
dewalt|24|24|19|22
concret|24|11|0|21
for|23|1|0|22
shelv|23|10|1|22
ladder|22|16|1|19
stove|21|10|0|10
hot|21|5|0|20
3|21|15|1|16
wire|20|4|0|6
saw|20|9|0|15
roof|20|16|0|18
plastic|20|5|0|5
cover|19|8|0|11
vinyl|19|16|0|14
with|19|7|0|19
shower|19|18|3|10
rang|18|18|0|18
tool|18|10|0|16
insul|18|16|0|18
ac|18|0|0|18
patio|18|16|0|17
storag|18|4|0|17
exterior|17|0|0|4
cedar|17|16|6|16
bathroom|17|6|0|7
electr|17|11|0|11
fiberglass|17|2|0|12
screen|17|8|2|14
unit|17|5|0|15
1|16|10|0|15
condition|15|13|0|11
hampton|15|14|14|13
front|15|14|0|7
glass|15|4|0|10
rail|15|9|0|14
blower|15|15|0|15
portabl|15|12|0|6
combo|15|12|0|6
outdoor|15|2|0|11
batteri|15|9|0|7
washer|14|12|0|13
vaniti|14|13|0|13
snow|14|14|0|14
epoxi|14|11|0|13
shelf|13|4|0|7
garag|13|2|0|10
piec|13|5|0|11
in|13|12|2|13
tree|13|4|0|8
pantri|13|2|0|3
trim|13|4|0|6
roll|13|7|0|5
deck|13|11|1|12
closet|13|6|6|9
treat|13|13|0|13
repair|13|3|0|5
pull|13|12|0|13
fixtur|13|0|0|7
stainless|13|10|0|5
under|13|9|0|9
part|12|1|0|2
pole|12|5|0|9
rack|12|3|0|4
tub|12|8|0|8
dryer|12|4|0|10
round|12|9|2|9
frame|12|10|0|12
6|12|6|0|11
white|12|10|0|6
bracket|12|6|0|4
bowl|11|0|0|11
impact|11|11|0|11
cadet|11|11|9|11
singl|11|10|0|10
dispos|11|11|0|11
lumber|11|1|0|3
glacier|11|11|11|11
bulb|11|10|0|10
switch|11|11|0|11
roller|11|7|0|7
flush|11|10|0|10
red|11|11|0|9
entri|11|0|0|10
drill|11|8|0|8
top|10|5|0|9
high|10|7|0|9
10|10|2|0|2
mulch|10|8|0|10
t|10|10|3|10
tank|10|0|0|10
bath|10|7|0|8
pruner|10|4|0|5
slide|10|8|0|8
set|10|7|0|10
paver|10|9|4|5
samsung|10|7|7|7
edg|10|7|0|10
dispens|10|10|0|10
leaf|9|6|0|6
gate|9|9|6|9
interior|9|6|0|5
tube|9|6|1|8
cub|9|9|9|9
shop|9|1|0|2
bag|9|2|0|5
rug|9|8|2|8
soap|9|9|0|9
counter|9|0|0|6
landscap|9|1|0|4
rheem|9|9|9|9
18|9|8|0|8
remot|9|0|0|5
a|9|9|5|9
huski|9|9|9|8
replac|9|2|0|1
moen|9|6|6|2
mold|9|1|1|1
pedest|8|6|0|6
lamp|8|6|0|6
cloth|8|7|0|7
block|8|5|0|1
kohler|8|7|7|0
pump|8|6|0|8
plate|8|1|0|2
24in.|8|2|0|4
stick|8|3|0|3
40gal.|8|2|0|2
ryobi|8|8|8|8
handl|8|8|0|8
mdf|8|5|0|7
delta|8|5|5|5
track|8|8|0|8
shade|8|7|0|7
hole|8|7|0|7
mask|8|7|0|5
load|8|7|0|8
aluminum|8|4|0|5
stone|8|3|2|5
attic|8|7|1|8
screw|8|8|0|8
bamboo|8|4|0|4
tape|8|7|0|8
drop|8|6|0|7
cleaner|7|4|0|1
bell|7|5|0|4
vacuum|7|6|0|6
wooden|7|0|0|1
hardi|7|0|0|0
6ft.|7|6|0|5
20volt.|7|5|0|5
hardwar|7|3|2|6
bucket|7|0|0|7
brick|7|1|0|4
propan|7|0|0|5
power|7|3|0|7
stake|7|4|0|4
brush|7|7|0|7
knob|7|0|0|0
lamin|7|5|0|5
btu|7|7|0|4
14|7|7|0|7
dine|7|7|0|7
materi|7|0|0|1
12in.|7|6|0|6
34in.|7|5|0|5
toro|7|6|6|6
hing|7|5|0|6
strip|7|0|0|0
shark|6|6|4|4
pressur|6|6|0|6
mesh|6|1|0|3
34|6|5|0|4
r|6|6|6|6
m|6|4|4|6
system|6|5|0|5
l|6|6|2|6
lithium|6|6|0|6
hous|6|6|2|6
