word|count|in title 1|% 1|in title 1 diff|in title 2|% 2|attribute type
for|4730|517|10.93%|4,213|634|13.40%|['Bullet22', 'Fastener recommendation', 'Bullet01', 'Bullet13', 'Bullet09', 'Accessory Type', 'Kitchen Product Type', 'Bullet07', 'Primary Use', 'High Temperature Resistance', 'Bullet12', 'Fits models', 'Bullet08', 'Bullet20', 'Bullet17', 'Engine Part Type', 'Bullet06', 'Product Type', 'Exact Wet SCOF Rating', 'Type', 'Bullet18', 'Bullet14', 'Bullet11', 'Bullet03', 'Bullet21', 'Sign Type', 'Food Container Size', 'Ice Melt Features', 'Bullet10', 'Brand compatibility', 'Compatibility', 'Bullet15', 'Electronics Features', 'Bullet04', 'Care Instructions', 'Exact Dry SCOF Rating', 'Fits brands', 'Bullet16', 'Accessory/Part Type', 'Finish', 'Fits Brand/Models', 'Bullet02', 'Package Contents', 'General Features', 'Application', 'Bullet05', 'Shower Base Type', 'Color/Finish', 'Brand/Model Compatibility', 'Features']
inch|4075|36|0.88%|4,039|36|0.88%|['Fits Brand/Models', 'Bullet01', 'Arbor Size', 'Bullet02', 'Bullet04', 'Connection Size', 'Bullet14', 'Bullet03', 'Bullet05']
in|4138|1524|36.83%|2,614|3926|94.88%|['Depth (Including Handles)', 'Mature Width (in.)', 'In-Store Availability', 'Bit Diameter', 'Jaw Tip Size', 'Maximum Cut Depth @ 90 Deg.', 'Wheel Diameter (in.)', 'Fastener Callout Size', 'Jaw Width', 'Bullet06', 'Assembled Height (in.)', 'Assembled Depth (in.)', 'Bullet10', 'Height to Top of Door Hinge', 'Toilet Features', 'Silverware Basket Location', 'Care Instructions', 'Maximum Cut Depth @ 45 Deg.', 'Rip Capacity - Left', 'Rough Opening Height', 'Microwave Type', 'Assembled Length (in.)', 'Shelf Thickness (in.)', 'Product Thickness (in.)', 'Maximum Height (In.)', 'Color/Finish', 'Maximum Opening', 'Screw Length', 'Exterior bath shape', 'Hole Saw Diameter', 'Minimum Length (In.)', 'Spout Reach (in.)', 'Hose Diameter (In.)', 'Bullet07', 'Width', 'Outside Width (in.)', 'Product Width (in.)', 'Product Diameter (in.)', 'Depth Including Door (in.)', 'Maximum Fastener Size', 'Connection Size', 'Bullet18', 'Rip Capacity - Right', 'Optimal mowing height (in.)', 'Product Depth (in.)', 'Rough Opening Width', 'Weed Type', 'Bullet04', 'Electrical Product Type', 'Mosaic Sub Unit Width (in.)', 'Cut-Out Left to Right Length (in.)', 'Fitting Size', 'Bullet02', 'Bullet05', 'Maximum Length (In.)', 'Paint Product Type', 'Bullet09', 'Mower Deck Width', 'Primary Use', 'Bullet12', 'Fits models', 'Bullet08', 'Size', 'Blade Length (In.)', 'Assembled Width (in.)', 'Bullet17', 'Bend Radius', 'Adjustable Fit', 'MFG Brand Name', 'Diameter (in.)', 'Bullet21', 'Depth (Excluding Handles)', 'Jaw Capacity', 'Projection', 'Product Length (in.)', 'Bullet16', 'Turntable Diameter', 'Shank Diameter', 'Width (in) x Length (in)', 'Mature Height (in.)', 'Height to Top of Refrigerator (in.)', 'Interior Cabinet Depth (in.)', 'Thickness', 'Clearing Width (In.)', 'Door Thickness (in.)', 'Bullet01', 'Nominal Width', 'Bullet13', 'Cut-Out Height (in.)', 'Throat Depth', 'Mosaic Sub Unit Length (in.)', 'Usage', 'Depth (Less Door)', 'Specialty Finish', 'Bullet14', 'Bullet11', 'Bullet03', 'Product Height (in.)', 'Handle Length', 'Inside Diameter', 'Bullet15', 'Container Size (in.)', 'Finish', 'Blade Diameter', 'Cut-Out Front to Back Width (in.)', 'Minimum Fastener Size', 'Outside Length']
and|3091|1093|35.36%|1,998|1327|42.93%|['Contact or systemic', 'Plant Type', 'Bullet22', 'Application Method', 'Floor Options', 'Bullet01', 'Decor Product Type', 'Bullet13', 'Paint Product Type', 'Bullet09', 'Accessory Type', 'Gardening Book Category', 'Primary application', 'Bullet07', 'Kitchen Product Type', 'Primary Use', 'Pattern type', 'Bullet12', 'Fits models', 'Bullet08', 'Material', 'Bullet17', 'Paneling/Planking Style', 'Subflooring type', 'Bullet20', 'Finished End', 'Power Type', 'Forward/reverse switch', 'Bullet19', 'Width (In.)', 'Bullet06', 'Bath Faucet Type', 'Product Type', 'Scent', 'Thermostat Type', 'Color/Pattern', 'MFG Brand Name', 'Downspout Size (In.)', 'Office Supply Type', 'Bullet18', 'Bullet14', 'Exterior Lighting Product Type', 'Bullet11', 'Bullet03', 'Dishwasher Cycles', 'Bullet21', 'Door Swing', 'Cleanup', 'Engine Make', 'Bullet10', 'Brand compatibility', 'Compatibility', 'Home improvement topic', 'Weed Type', 'Bullet15', 'Floor/wall use', 'Bullet04', 'Care Instructions', 'Kit contents', 'Bullet16', 'Storage Product Type', 'Pest Type', 'Area Rug Style', 'Approximate Rug Size', 'Paneling/Planking Features', 'Sound Rating Range (Decibels)', 'Bullet02', 'Package Contents', 'Color', 'Finish Family', 'Application', 'Bullet05', 'Color/Finish', 'Accessories/Parts Included', 'Brand/Model Compatibility']
doors|2114|252|11.92%|1,862|253|11.97%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet13', 'Bullet09', 'Accessory Type', 'Bullet15', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Cabinet Type', 'Bullet12', 'Bullet14', 'Bullet16', 'Bullet08', 'Bullet17', 'Bullet03', 'Bullet05', 'Bullet11', 'Color/Finish']
lights|2003|152|7.59%|1,851|191|9.54%|['Bullet01', 'Bullet09', 'Bullet07', 'Bullet12', 'Bullet08', 'Bullet06', 'Bullet14', 'Outdoor Living Product Type', 'Exterior Lighting Product Type', 'Bullet11', 'Bullet03', 'Bicycle Accessory Type', 'Commercial Light Type', 'Bullet10', 'Uplight/Downlight', 'Bullet04', 'Electrical Product Type', 'Bullet16', 'Collection Name', 'Bullet02', 'Exterior Lighting Accessory Type', 'Bullet05', 'Holiday Decor Product Type', 'Features']
light|4226|2420|57.26%|1,806|3719|88.00%|['Installation Features', 'Bullet01', 'Head Type', 'Bullet13', 'Specialty Bulb Type', 'Bullet09', 'Accessory Type', 'Filtration method', 'Electrical Features', 'Bullet07', 'Top Color', 'Included', 'Artwork name', 'Primary Use', 'Bullet12', 'Cabinet Color Family', 'Bullet08', 'Bulb Color', 'Light Control', 'Bullet06', 'Product Type', 'Scent', 'MFG Brand Name', 'Fixture Color/Finish', 'Bullet18', 'Under Cabinet Light Type', 'Suspended Grid Panel Type', 'Commercial Light Type', 'Bath Fan Features', 'Bullet11', 'Bullet03', 'Fixture Type', 'Bullet14', 'Flashlight Features', 'Outdoor Living Product Type', 'Bullet10', 'Flashlight type', 'Cabinet Color', 'Bullet15', 'Bullet04', 'Electrical Product Type', 'Bullet16', 'Accessory/Part Type', 'Recommended Bulb Type', 'Collection Name', 'Color Family', 'Specialty Switch Type', 'Bullet02', 'Basin Color', 'Automotive Bulb Type', 'Color', 'Finish Family', 'Frame finish family', 'Shade material strength', 'Accessory type', 'Application', 'Exterior Lighting Accessory Type', 'Bullet05', 'Color/Finish', 'Holiday Decor Product Type', 'Features']
with|3365|1589|47.22%|1,776|1596|47.43%|['Floor Options', 'Bullet22', 'Installation Features', 'Bullet01', 'Head Type', 'Bullet13', 'Stain Resistant', 'Bullet09', 'Terrain', 'Bullet07', 'Bullet12', 'Fits models', 'Bullet08', 'Bullet20', 'Bullet17', 'Gift Card Replacement', 'Material', 'Bullet19', 'Bullet06', 'Color/Pattern', 'Fixture Color/Finish', 'Bullet14', 'Outdoor Living Product Type', 'Bullet21', 'Bullet03', 'Bullet11', 'Bullet10', 'Model/year compatibility', 'Brand compatibility', 'Bullet15', 'Spout Type', 'Bullet04', 'Care Instructions', 'Bullet16', 'Door Configuration', 'Recommended Bulb Type', 'Battery Type Required', 'Collection Name', 'Finish', 'Bullet02', 'Basin Color', 'Color', 'Bullet05', 'Color/Finish']
2|2149|738|34.34%|1,411|1972|91.76%|['Number in Package', 'Capacity- Front Load Washer (cu ft)', 'Bit Diameter', 'Product Weight (lb.)', 'Minimum compatible pipe size (in.)', 'Nominal product width (in.)', 'Number of Temperature/Cooking Controls', 'Number of Conductors', 'Number of Doors', 'Fastener Callout Size', 'Bullet06', 'Number of Rinse Cycles', 'Assembled Height (in.)', 'Number of Bowls', 'Number of Speakers', 'Compressor Tank Capacity (Gallons)', 'Assembled Depth (in.)', 'Spout height (in.)', 'Oven Racks', 'Bullet10', 'Minimum window depth required (in.)', 'Number of Spray Settings', 'Number of Tiers', 'Number of Poles', 'Number of Holes', 'Actual post thickness (in.)', 'Number of Fresh Food Shelves', 'Insulation R-Value', 'Number of Gangs', 'Number of Batteries Included', 'Number of Outlets', 'Horsepower (hp)', 'Cord/strap width (in.)', 'Number of Lights/Bulbs', 'Product Thickness (in.)', 'Approximate Size (WxL)', 'Screw Length', 'Arm length (in.)', 'Anchor height (in.)', 'Number of Housings Included', 'Hose Diameter (In.)', 'Bullet07', 'Product Width (in.)', 'Number of Faucet Holes Required', 'Time before recoating (hours)', 'Maximum Fastener Size', 'Bulb Diameter (In.)', 'Number of platforms included', 'Capacity (gallons)', 'Size (in.)', 'Grid opening size (in.)', 'Actual product thickness (in.)', 'Number of Shelves', 'Inlet size (in.)', 'Product Depth (in.)', 'Valve Inlet Diameter (in.)', 'Bullet04', 'Capacity - Washer (cu. ft.)', 'Mosaic Sub Unit Width (in.)', 'Actual post width (in.)', 'Actual inside diameter (in.)', 'Fitting Size', 'Container Width (in.)', 'Bullet02', 'Package Contents', 'Number of Burners', 'Panel Type', 'Center to Center Measurement (inches)', 'Bag Capacity/Dry Volume (cu. ft.)', 'Conductor Gauge', 'Bullet05', 'Oil Type', 'Brush head widths (in.)', 'Core Diameter (in.)', 'Bullet09', 'Number of circuits/outlets', 'Bit Length (in.)', 'Bullet12', 'Bullet08', 'Size', 'Assembled Width (in.)', 'Glass Type', 'Number of Tools Included', 'Maximum Occupancy', 'Package quantity', 'Pipe/rod size (in.)', 'Density', 'Number of Pieces', 'MFG Brand Name', 'Valve Outlet Diameter (in.)', 'Pack Size', 'Number of Trim Lines', 'Maximum Duct Width', 'Product Length (in.)', 'Brush head width (in.)', 'Number of Cameras Included', 'Product Length (ft.)', 'Width (in) x Length (in)', 'Number of Wash Speeds', 'Minimum Recommended Air Delivery SCFM @ 90PSI', 'Maximum compatible pipe size (in.)', 'Engine Cycles', 'Trade Size (in.)', 'Number of levels/stories', 'Number of Reverse Speeds', 'Nominal Product Height (In.)', 'Brand/Model Compatibility', 'Number of Drawers', 'Slat/vane width (in.)', 'Number of Screws', 'Bullet01', 'Showerhead face diameter (in.)', 'Nominal Width', 'Bullet13', 'Engine Type', 'Throat Depth', 'Mosaic Sub Unit Length (in.)', 'Number of beams', 'Number of pieces included', 'Flow rate (gallons per minute)', 'Number of Bulbs Required', 'Number of Lamps', 'Product Thickness x Width x Length', 'Number of Elements', 'Container Size', 'Approximate Size (ft.)', 'Inside Duct Length x Inside Duct Width', 'Flush Valve Size (in.)', 'Bullet14', 'Bit diameter (in.)', 'Package Quantity', 'Bullet11', 'Bullet03', 'Product Height (in.)', 'Fastener length (in.)', 'Inside Duct Width (in.)', 'Capacity of Microwave (cu. ft.)', 'Required door thickness (in.)', 'Number of Bolts Included', 'Pressure (tons)', 'Weight (lb.)', 'Actual product width (in.)', 'Tape Width (in.)', 'Number of Batteries Required', 'Actual outside diameter (in.)', 'Product Width (ft.)', 'Number of Rinse Temperatures', 'Nail Length (In.)']
bathroom|2016|628|31.15%|1,388|628|31.15%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet13', 'Bullet09', 'Bullet07', 'Bullet04', 'Pattern name', 'Bullet12', 'Bullet08', 'Bullet11', 'Bullet03', 'Application Type', 'Bullet05', 'Where to Use']
